Year,Month,Quarter,Region,Product,Revenue,Cost,Profit,Profit_Margin_pct,Active_Customers,New_Customers,Churned_Customers,Usage_Units,Customer_Satisfaction,NPS_Score,Support_Tickets,Marketing_Spend,Features_Released,Avg_Revenue_per_Customer,Churn_Rate_pct
2019,3,Q1,Asia-Pacific,AI Hardware,16601.69,10711.58,5890.11,35.48,8,2,0,15,6.86,22.9,15,9365.68,1,2075.21,2.23
2019,3,Q1,Europe,AI Consulting,94989.2,57478.49,37510.71,39.49,8,2,0,414,8.05,32.7,12,11801.32,0,11873.65,1.79
2019,3,Q1,Europe,AI Education,7740.38,2824.12,4916.26,63.51,21,9,2,88,8.24,38.8,32,4708.98,2,368.59,7.53
2019,3,Q1,Europe,AI Hardware,13458.61,8024.22,5434.38,40.38,4,0,0,15,7.13,20.2,7,7242.32,0,3364.65,6.54
2019,3,Q1,Europe,AI Platform,93784.59,35466.65,58317.94,62.18,55,14,1,2962,7.73,27.3,83,20356.76,3,1705.17,0.99
2019,3,Q1,Latin America,AI Consulting,48487.29,24910.37,23576.92,48.62,6,1,0,278,8.58,43.2,13,8045.99,0,8081.22,0.14
2019,3,Q1,Latin America,AI Education,5777.44,1816.78,3960.66,68.55,17,10,0,58,8.39,49.6,14,3609.31,0,339.85,2.8
2019,3,Q1,Latin America,AI Hardware,6770.35,3747.89,3022.45,44.64,3,2,0,7,7.25,25.9,8,5642.63,0,2256.78,1.9
2019,3,Q1,Latin America,AI Platform,64775.74,25010.89,39764.85,61.39,32,16,1,2211,8.03,33.8,39,13058.01,3,2024.24,4.42
2019,3,Q1,North America,AI Consulting,80298.66,36672.92,43625.74,54.33,13,2,0,457,8.33,35.1,20,17588.57,2,6176.82,2.37
2019,3,Q1,North America,AI Education,15102.39,8025.29,7077.1,46.86,28,9,2,141,7.75,24.7,43,7625.58,2,539.37,6.69
2019,3,Q1,North America,AI Platform,123472.3,48949.67,74522.63,60.36,70,17,5,4355,7.43,34.9,101,37521.53,3,1763.89,7.35
2019,4,Q2,Asia-Pacific,AI Consulting,85919.87,46436.57,39483.3,45.95,12,1,1,386,8.14,35.1,20,19478.89,2,7159.99,5.9
2019,4,Q2,Asia-Pacific,AI Education,12185.27,5579.51,6605.76,54.21,30,8,0,109,7.96,40.8,43,8235.01,1,406.18,0.85
2019,4,Q2,Asia-Pacific,AI Hardware,12214.05,6792.61,5421.45,44.39,6,4,0,11,7.06,29.9,10,10316.81,2,2035.68,5.13
2019,4,Q2,Asia-Pacific,AI Platform,137384.73,70082.33,67302.4,48.99,58,19,3,4840,7.81,30.5,91,36674.7,3,2368.7,5.28
2019,4,Q2,Europe,AI Consulting,71323.46,35375.79,35947.67,50.4,9,4,0,409,8.58,46.5,14,17749.58,0,7924.83,4.49
2019,4,Q2,Europe,AI Education,10736.54,4510.71,6225.84,57.99,18,7,0,99,7.78,33.6,24,4931.17,1,596.47,1.81
2019,4,Q2,Europe,AI Hardware,13744.38,7903.53,5840.85,42.5,5,1,0,11,6.6,22.0,5,8694.08,0,2748.88,4.98
2019,4,Q2,Europe,AI Platform,81508.86,41484.9,40023.95,49.1,50,18,2,2886,7.74,27.2,93,29785.68,1,1630.18,3.64
2019,4,Q2,Latin America,AI Consulting,50276.32,31112.7,19163.62,38.12,6,1,0,228,8.41,37.5,5,10545.58,0,8379.39,6.45
2019,4,Q2,Latin America,AI Education,7839.94,4176.63,3663.31,46.73,16,8,1,93,8.25,37.8,25,4800.89,2,490.0,3.88
2019,4,Q2,Latin America,AI Hardware,7733.4,5050.83,2682.57,34.69,3,1,0,7,6.77,24.4,6,6247.22,2,2577.8,4.91
2019,4,Q2,Latin America,AI Platform,51396.02,25939.29,25456.72,49.53,25,9,2,1554,8.05,34.1,33,18730.02,1,2055.84,6.32
2019,4,Q2,North America,AI Consulting,73318.38,44686.47,28631.91,39.05,13,6,1,422,8.36,41.0,14,16725.57,2,5639.88,4.93
2019,4,Q2,North America,AI Education,12426.31,3937.12,8489.19,68.32,30,9,1,100,7.97,25.4,48,8127.35,2,414.21,4.82
2019,4,Q2,North America,AI Hardware,15561.29,10531.9,5029.39,32.32,8,0,0,17,7.13,25.9,12,14103.23,0,1945.16,4.09
2019,4,Q2,North America,AI Platform,125874.25,60551.6,65322.64,51.9,55,13,3,3769,7.67,33.2,95,34592.32,3,2288.62,4.67
2019,5,Q2,Asia-Pacific,AI Consulting,103086.64,65344.4,37742.25,36.61,12,2,0,580,8.63,42.1,17,14596.76,1,8590.55,1.74
2019,5,Q2,Asia-Pacific,AI Education,10994.23,4689.43,6304.8,57.35,26,6,1,122,7.83,33.6,33,6028.08,1,422.86,5.06
2019,5,Q2,Asia-Pacific,AI Hardware,11952.09,8539.72,3412.37,28.55,8,4,1,11,6.73,19.3,14,7441.07,0,1494.01,6.63
2019,5,Q2,Asia-Pacific,AI Platform,110156.55,57105.89,53050.66,48.16,61,11,3,3677,7.53,25.9,93,41020.68,2,1805.85,5.56
2019,5,Q2,Europe,AI Consulting,66355.24,30173.57,36181.67,54.53,9,3,0,396,8.5,38.2,10,18654.22,2,7372.8,4.91
2019,5,Q2,Europe,AI Education,10383.24,3979.38,6403.86,61.67,24,10,1,105,7.97,31.1,38,7253.05,3,432.64,4.22
2019,5,Q2,Europe,AI Hardware,11969.52,6773.36,5196.16,43.41,6,1,0,10,6.85,21.3,11,10385.88,0,1994.92,2.93
2019,5,Q2,Europe,AI Platform,76847.91,39805.09,37042.83,48.2,52,13,4,2235,7.63,33.0,84,28929.04,1,1477.84,7.5
2019,5,Q2,Latin America,AI Consulting,41049.11,20605.12,20443.99,49.8,5,1,0,183,8.4,43.7,5,8295.31,0,8209.82,0.0
2019,5,Q2,Latin America,AI Education,6047.2,3260.2,2787.0,46.09,16,7,0,64,7.8,38.1,38,4878.44,2,377.95,3.09
2019,5,Q2,Latin America,AI Hardware,7197.46,4619.97,2577.49,35.81,4,4,0,6,6.98,28.3,8,5641.07,1,1799.37,7.42
2019,5,Q2,Latin America,AI Platform,56061.02,25333.1,30727.92,54.81,26,17,1,1632,7.46,28.4,39,20939.15,2,2156.19,4.34
2019,5,Q2,North America,AI Consulting,105579.09,57297.65,48281.44,45.73,11,1,1,494,8.05,28.4,16,22359.6,4,9598.1,6.02
2019,5,Q2,North America,AI Education,13897.29,4798.56,9098.73,65.47,31,9,2,113,8.12,38.1,44,10336.4,1,448.3,5.55
2019,5,Q2,North America,AI Hardware,16038.75,9014.64,7024.11,43.79,6,0,0,15,6.78,16.5,9,11463.16,0,2673.13,4.56
2019,6,Q2,Asia-Pacific,AI Consulting,73075.91,46131.91,26944.0,36.87,10,2,0,389,8.42,43.6,19,18549.88,0,7307.59,3.97
2019,6,Q2,Asia-Pacific,AI Hardware,14239.05,9152.67,5086.38,35.72,7,1,0,12,6.82,17.7,17,10545.96,0,2034.15,1.49
2019,6,Q2,Asia-Pacific,AI Platform,108933.46,52439.59,56493.87,51.86,48,13,1,3799,7.59,26.5,82,37895.86,0,2269.45,2.85
2019,6,Q2,Europe,AI Consulting,53916.8,25265.31,28651.49,53.14,9,1,1,276,8.92,53.0,8,18556.04,2,5990.76,6.53
2019,6,Q2,Europe,AI Hardware,10430.03,6196.71,4233.32,40.59,6,5,0,8,7.29,25.9,9,9263.42,0,1738.34,2.23
2019,6,Q2,Europe,AI Platform,100636.43,46377.83,54258.6,53.92,51,14,1,2595,7.98,33.9,70,33872.23,2,1973.26,2.78
2019,6,Q2,Latin America,AI Consulting,32772.93,18533.7,14239.22,43.45,5,5,0,187,8.33,42.4,6,10124.04,1,6554.59,4.4
2019,6,Q2,Latin America,AI Hardware,7160.88,4536.79,2624.09,36.64,3,1,0,8,6.7,19.2,3,6911.27,0,2386.96,4.48
2019,6,Q2,Latin America,AI Platform,58171.09,30593.13,27577.96,47.41,36,19,1,1441,8.02,35.9,51,13357.47,5,1615.86,3.5
2019,6,Q2,North America,AI Consulting,89612.75,46995.92,42616.83,47.56,12,2,0,393,8.48,45.8,12,25553.26,2,7467.73,3.58
2019,6,Q2,North America,AI Education,11523.57,5973.02,5550.55,48.17,31,4,3,125,8.32,37.7,33,9574.68,1,371.73,9.2
2019,6,Q2,North America,AI Hardware,13582.2,9579.38,4002.82,29.47,6,3,0,11,7.1,21.9,14,11239.33,2,2263.7,7.21
2019,6,Q2,North America,AI Platform,115779.05,58459.94,57319.11,49.51,71,20,2,4140,8.16,47.0,102,38286.05,0,1630.69,2.15
2019,7,Q3,Asia-Pacific,AI Consulting,63929.99,34164.62,29765.36,46.56,11,1,0,327,8.72,40.3,14,21523.71,0,5811.82,4.22
2019,7,Q3,Asia-Pacific,AI Education,8736.6,3364.91,5371.69,61.48,21,9,1,86,8.0,33.6,44,5642.5,0,416.03,3.14
2019,7,Q3,Asia-Pacific,AI Hardware,13832.86,9883.37,3949.5,28.55,8,2,0,13,7.4,32.7,15,8321.21,0,1729.11,2.66
2019,7,Q3,Asia-Pacific,AI Platform,116837.7,42552.47,74285.23,63.58,58,18,2,3636,7.85,38.0,97,25100.89,1,2014.44,3.02
2019,7,Q3,Europe,AI Consulting,60848.63,35319.27,25529.35,41.96,10,2,0,274,8.29,28.4,4,14290.46,1,6084.86,2.31
2019,7,Q3,Europe,AI Education,8341.38,3075.32,5266.06,63.13,21,9,1,87,8.04,33.4,32,6140.0,2,397.21,6.15
2019,7,Q3,Europe,AI Hardware,8686.48,5137.17,3549.31,40.86,4,0,0,7,7.27,24.4,7,7982.78,0,2171.62,3.83
2019,7,Q3,Europe,AI Platform,93383.18,49100.48,44282.7,47.42,42,15,2,2915,7.77,38.0,65,29013.0,2,2223.41,5.0
2019,7,Q3,Latin America,AI Consulting,34808.43,16065.12,18743.31,53.85,7,3,0,170,8.35,51.9,9,10771.05,0,4972.63,2.25
2019,7,Q3,Latin America,AI Education,5652.68,1850.21,3802.47,67.27,17,9,1,56,8.28,44.1,25,3694.48,2,332.51,5.29
2019,7,Q3,Latin America,AI Hardware,6862.18,4859.12,2003.06,29.19,4,3,0,6,7.0,25.9,9,6828.34,1,1715.54,7.54
2019,7,Q3,Latin America,AI Platform,46189.44,16382.03,29807.41,64.53,35,14,1,1442,7.42,21.5,54,13868.52,4,1319.7,3.28
2019,7,Q3,North America,AI Consulting,84721.18,51104.91,33616.27,39.68,10,3,0,414,8.68,43.5,12,27007.68,0,8472.12,4.36
2019,7,Q3,North America,AI Education,11108.95,4634.57,6474.39,58.28,26,10,2,92,8.18,35.0,35,10070.12,1,427.27,7.68
2019,7,Q3,North America,AI Platform,106884.55,40108.74,66775.81,62.47,46,12,2,2856,7.67,36.0,74,35265.75,1,2323.58,4.27
2019,8,Q3,Asia-Pacific,AI Education,10624.82,3208.27,7416.54,69.8,29,7,1,96,7.95,42.3,42,5665.45,1,366.37,3.85
2019,8,Q3,Asia-Pacific,AI Hardware,10078.56,6797.81,3280.74,32.55,7,1,0,10,7.4,23.7,9,13005.11,0,1439.79,2.77
2019,8,Q3,Asia-Pacific,AI Platform,101126.81,45892.0,55234.81,54.62,61,11,2,3361,7.74,33.8,85,28469.52,3,1657.82,3.92
2019,8,Q3,Europe,AI Consulting,70576.55,34116.04,36460.51,51.66,11,4,1,392,8.29,40.2,14,16081.23,0,6416.05,5.85
2019,8,Q3,Europe,AI Education,9074.96,4742.15,4332.8,47.74,20,4,0,102,7.94,30.3,28,6722.51,1,453.75,1.26
2019,8,Q3,Europe,AI Hardware,8353.91,5290.54,3063.37,36.67,6,2,0,9,7.17,20.7,11,6881.25,1,1392.32,1.17
2019,8,Q3,Europe,AI Platform,88337.44,36505.8,51831.64,58.67,53,14,1,3065,8.01,35.5,71,20723.28,2,1666.74,2.27
2019,8,Q3,Latin America,AI Consulting,46669.05,26980.45,19688.6,42.19,6,2,0,187,8.55,41.6,6,10050.82,0,7778.18,3.62
2019,8,Q3,Latin America,AI Education,4178.2,2158.84,2019.35,48.33,13,14,1,36,7.69,34.1,17,3461.83,0,321.4,4.07
2019,8,Q3,Latin America,AI Hardware,8004.8,5039.56,2965.24,37.04,4,0,0,8,6.66,12.0,11,7005.28,0,2001.2,3.51
2019,8,Q3,Latin America,AI Platform,53899.25,21473.21,32426.03,60.16,36,17,2,1576,7.62,32.2,48,21782.94,5,1497.2,4.74
2019,8,Q3,North America,AI Consulting,61623.38,32029.62,29593.76,48.02,14,2,0,283,8.4,36.7,21,15332.85,0,4401.67,0.73
2019,8,Q3,North America,AI Education,12915.43,4655.79,8259.64,63.95,32,9,0,135,7.84,34.2,42,6195.96,1,403.61,1.42
2019,8,Q3,North America,AI Hardware,10320.75,7334.92,2985.83,28.93,7,3,0,10,7.01,25.6,11,8666.03,1,1474.39,2.47
2019,8,Q3,North America,AI Platform,114001.14,46617.79,67383.35,59.11,65,11,3,3787,8.1,40.7,99,26360.7,1,1753.86,5.03
2019,9,Q3,Asia-Pacific,AI Consulting,74845.64,42476.18,32369.45,43.25,10,0,0,386,8.32,31.7,21,23475.68,0,7484.56,4.68
2019,9,Q3,Asia-Pacific,AI Education,8330.93,3762.94,4567.99,54.83,29,12,1,79,8.04,40.3,41,7184.34,4,287.27,2.34
2019,9,Q3,Asia-Pacific,AI Hardware,10486.39,6677.78,3808.61,36.32,6,1,0,10,7.39,35.2,6,8829.87,0,1747.73,3.72
2019,9,Q3,Asia-Pacific,AI Platform,87459.69,41089.34,46370.35,53.02,41,27,1,2808,8.0,43.7,53,34404.53,2,2133.16,3.46
2019,9,Q3,Europe,AI Consulting,64343.12,39206.6,25136.52,39.07,9,2,0,344,8.42,37.8,9,15044.29,1,7149.24,3.22
2019,9,Q3,Europe,AI Education,7527.04,4102.93,3424.11,45.49,18,8,1,72,7.79,30.2,26,5758.35,3,418.17,4.52
2019,9,Q3,Europe,AI Platform,64774.13,31802.43,32971.7,50.9,36,16,1,2225,7.92,32.4,53,21423.3,2,1799.28,3.29
2019,9,Q3,Latin America,AI Consulting,36534.62,17797.09,18737.54,51.29,6,2,0,168,8.42,32.8,12,7996.18,1,6089.1,3.44
2019,9,Q3,Latin America,AI Education,4870.04,2093.17,2776.87,57.02,15,4,1,57,8.26,49.5,18,4303.08,2,324.67,4.85
2019,9,Q3,Latin America,AI Hardware,5241.09,3760.91,1480.18,28.24,4,2,0,5,7.14,21.1,3,6334.97,1,1310.27,4.03
2019,9,Q3,Latin America,AI Platform,55424.13,24138.33,31285.8,56.45,23,20,0,1625,7.63,31.5,35,13356.63,3,2409.74,1.97
2019,9,Q3,North America,AI Consulting,81861.83,52769.41,29092.41,35.54,10,1,0,446,8.7,48.6,15,18516.93,0,8186.18,0.0
2019,9,Q3,North America,AI Education,12493.96,5925.91,6568.05,52.57,32,14,3,147,7.4,28.5,44,9581.6,1,390.44,10.22
2019,9,Q3,North America,AI Platform,69299.43,35493.48,33805.94,48.78,66,18,3,2391,7.36,29.9,107,27185.2,1,1049.99,4.4
2019,10,Q4,Asia-Pacific,AI Consulting,75518.54,48016.8,27501.75,36.42,9,6,0,370,8.7,50.2,9,15608.08,1,8390.95,1.2
2019,10,Q4,Asia-Pacific,AI Education,8578.92,3987.15,4591.77,53.52,23,11,1,97,7.95,33.0,44,7264.6,0,373.0,3.7
2019,10,Q4,Asia-Pacific,AI Hardware,13315.4,9017.03,4298.37,32.28,5,4,0,10,7.13,32.2,13,7604.41,0,2663.08,6.68
2019,10,Q4,Asia-Pacific,AI Platform,108841.05,50419.11,58421.94,53.68,41,19,1,3607,8.07,46.9,59,34195.26,5,2654.66,2.8
2019,10,Q4,Europe,AI Consulting,55724.48,27471.2,28253.29,50.7,9,1,0,300,8.69,42.2,8,14164.21,2,6191.61,1.98
2019,10,Q4,Europe,AI Education,7717.05,2938.32,4778.73,61.92,27,9,1,92,8.29,35.4,20,5135.12,0,285.82,4.98
2019,10,Q4,Europe,AI Hardware,9061.84,6062.92,2998.92,33.09,6,3,0,7,6.76,28.3,11,7530.56,0,1510.31,2.78
2019,10,Q4,Europe,AI Platform,90740.6,45229.71,45510.89,50.15,51,22,4,2828,8.0,37.5,73,21831.87,2,1779.23,7.05
2019,10,Q4,Latin America,AI Consulting,36262.93,22185.83,14077.1,38.82,6,1,0,180,8.54,33.6,6,10423.36,0,6043.82,4.36
2019,10,Q4,Latin America,AI Education,5275.81,1885.87,3389.94,64.25,15,6,0,46,7.86,38.5,23,3883.86,2,351.72,1.49
2019,10,Q4,Latin America,AI Hardware,4946.92,3134.97,1811.95,36.63,4,4,0,5,6.93,27.4,9,5445.41,1,1236.73,3.21
2019,10,Q4,Latin America,AI Platform,47101.6,20904.7,26196.9,55.62,24,27,1,1287,7.65,37.0,33,13611.63,1,1962.57,2.59
2019,10,Q4,North America,AI Consulting,100855.15,59275.23,41579.92,41.23,13,6,0,494,8.48,40.3,21,15653.82,1,7758.09,1.78
2019,10,Q4,North America,AI Education,8906.85,3494.99,5411.86,60.76,28,6,1,71,8.15,41.1,38,9743.24,5,318.1,2.62
2019,10,Q4,North America,AI Hardware,12721.85,7987.81,4734.04,37.21,8,0,0,13,6.95,20.1,18,14541.07,0,1590.23,4.12
2019,10,Q4,North America,AI Platform,69943.91,36657.98,33285.93,47.59,61,10,2,1798,7.55,33.9,93,28790.64,2,1146.62,4.01
2019,11,Q4,Asia-Pacific,AI Consulting,77919.67,40531.0,37388.68,47.98,10,1,0,384,8.71,44.2,8,23108.35,1,7791.97,4.87
2019,11,Q4,Asia-Pacific,AI Education,10196.17,3962.91,6233.26,61.13,27,8,1,109,7.86,35.4,37,6193.88,1,377.64,2.19
2019,11,Q4,Asia-Pacific,AI Hardware,9579.04,7057.36,2521.68,26.33,6,0,0,9,6.71,19.0,12,7707.13,0,1596.51,3.22
2019,11,Q4,Asia-Pacific,AI Platform,103819.14,38480.88,65338.27,62.93,65,15,5,2554,7.83,32.5,94,34722.42,2,1597.22,8.16
2019,11,Q4,Europe,AI Consulting,59175.5,27360.49,31815.02,53.76,9,3,0,265,8.92,45.2,7,13653.23,1,6575.06,1.69
2019,11,Q4,Europe,AI Education,8081.8,4083.29,3998.51,49.48,23,7,1,83,7.74,32.4,23,7545.91,0,351.38,5.43
2019,11,Q4,Europe,AI Platform,84520.46,45357.15,39163.31,46.34,42,13,2,3005,8.02,43.6,55,26556.17,1,2012.39,4.5
2019,11,Q4,Latin America,AI Consulting,40627.19,21786.75,18840.44,46.37,5,4,0,188,8.38,42.6,9,11152.23,2,8125.44,6.51
2019,11,Q4,Latin America,AI Education,5633.59,1745.56,3888.03,69.02,15,3,0,62,7.98,35.5,22,5393.98,2,375.57,3.28
2019,11,Q4,Latin America,AI Hardware,5618.07,3558.7,2059.37,36.66,3,3,0,5,7.26,35.4,2,6725.42,1,1872.69,5.14
2019,11,Q4,Latin America,AI Platform,45540.1,23947.99,21592.11,47.41,32,26,1,1577,8.14,44.9,41,17828.59,4,1423.13,3.42
2019,11,Q4,North America,AI Education,9912.44,3914.8,5997.64,60.51,33,9,2,80,8.02,42.8,52,7619.22,0,300.38,4.66
2019,11,Q4,North America,AI Hardware,12343.41,9036.87,3306.54,26.79,7,0,0,10,6.48,26.4,18,8007.81,0,1763.34,1.78
2019,11,Q4,North America,AI Platform,121462.73,61847.03,59615.7,49.08,50,21,2,3298,7.93,41.3,78,34124.8,1,2429.25,4.39
2019,12,Q4,Asia-Pacific,AI Consulting,57853.69,30532.01,27321.68,47.23,9,1,1,345,8.75,32.6,12,20418.36,2,6428.19,5.75
2019,12,Q4,Asia-Pacific,AI Hardware,12999.81,7635.15,5364.66,41.27,6,3,0,11,7.64,28.5,5,8738.54,1,2166.64,6.17
2019,12,Q4,Asia-Pacific,AI Platform,93038.53,34320.4,58718.12,63.11,44,15,1,3103,7.57,37.6,63,33285.84,4,2114.51,3.24
2019,12,Q4,Europe,AI Consulting,57682.89,34576.02,23106.86,40.06,7,2,0,315,8.33,29.4,5,11825.74,1,8240.41,5.51
2019,12,Q4,Europe,AI Education,10808.05,5078.79,5729.26,53.01,28,1,1,98,8.16,32.3,40,4684.32,3,386.0,4.49
2019,12,Q4,Europe,AI Hardware,9309.8,6917.74,2392.05,25.69,6,3,0,7,6.58,24.3,18,6916.53,1,1551.63,4.38
2019,12,Q4,Europe,AI Platform,77943.54,39211.26,38732.27,49.69,37,21,1,2503,8.22,46.2,52,26329.53,2,2106.58,2.65
2019,12,Q4,Latin America,AI Education,5976.04,2660.3,3315.74,55.48,17,8,0,50,8.5,37.8,19,4450.64,2,351.53,2.37
2019,12,Q4,Latin America,AI Hardware,7723.77,4469.7,3254.07,42.13,3,1,0,9,7.13,33.0,6,7081.36,0,2574.59,4.28
2019,12,Q4,Latin America,AI Platform,57465.13,31253.24,26211.89,45.61,29,11,1,2067,7.28,24.0,47,21524.37,2,1981.56,2.04
2019,12,Q4,North America,AI Consulting,54697.56,28930.33,25767.23,47.11,12,3,0,248,8.11,28.6,18,15136.88,1,4558.13,3.25
2019,12,Q4,North America,AI Education,9591.52,5247.57,4343.95,45.29,36,12,2,112,8.23,41.5,48,5961.65,1,266.43,5.79
2019,12,Q4,North America,AI Hardware,14882.32,10851.26,4031.06,27.09,6,1,0,15,7.13,30.4,14,8890.45,1,2480.39,1.72
2019,12,Q4,North America,AI Platform,118363.46,50297.89,68065.57,57.51,68,20,2,3161,7.77,28.8,96,26254.02,2,1740.64,3.46
2020,1,Q1,Asia-Pacific,AI Education,11328.95,4075.78,7253.17,64.02,35,13,1,121,8.23,46.9,39,7267.1,3,323.68,3.27
2020,1,Q1,Asia-Pacific,AI Hardware,17423.86,9653.3,7770.56,44.6,9,3,1,20,7.26,25.3,6,13523.67,0,1935.98,6.37
2020,1,Q1,Europe,AI Consulting,62258.91,30268.94,31989.97,51.38,11,5,0,335,8.44,35.9,14,17528.86,1,5659.9,0.6
2020,1,Q1,Europe,AI Education,13298.46,4073.32,9225.15,69.37,24,10,0,128,8.19,50.8,28,6914.36,2,554.1,1.28
2020,1,Q1,Europe,AI Hardware,11232.75,8310.6,2922.15,26.01,7,2,1,11,6.44,14.7,12,9659.09,0,1604.68,7.26
2020,1,Q1,Europe,AI Platform,120303.48,49694.09,70609.39,58.69,45,20,2,3676,8.1,37.0,47,26275.17,5,2673.41,5.33
2020,1,Q1,Latin America,AI Education,5756.79,2292.82,3463.97,60.17,14,5,0,58,8.35,39.4,18,3453.13,2,411.2,2.33
2020,1,Q1,Latin America,AI Platform,52705.39,20540.68,32164.71,61.03,37,14,1,1304,7.65,31.7,51,21779.81,5,1424.47,2.73
2020,1,Q1,North America,AI Consulting,109860.73,50746.58,59114.14,53.81,13,2,1,536,8.4,38.8,12,16111.72,1,8450.83,7.87
2020,1,Q1,North America,AI Education,11822.96,3968.25,7854.71,66.44,31,2,0,126,7.82,42.7,45,6301.03,1,381.39,1.43
2020,1,Q1,North America,AI Hardware,11558.77,7526.37,4032.4,34.89,6,5,0,9,7.63,34.5,6,9101.89,0,1926.46,3.32
2020,1,Q1,North America,AI Platform,119931.92,61656.7,58275.22,48.59,77,17,3,3787,8.02,42.9,105,37656.56,1,1557.56,3.85
2020,2,Q1,Asia-Pacific,AI Consulting,82208.48,40349.36,41859.12,50.92,10,2,1,441,8.41,40.1,13,19084.43,0,8220.85,6.81
